country_code,region,name,city,address,star_rating,hotel_type,description,contact_phone,contact_email,website,check_in_time,check_out_time,latitude,longitude,amenities,price_notes,display_order
REQUIRED - Country code from 01_countries,REQUIRED - Region name (exact match) OR region ID,REQUIRED - Hotel name,OPTIONAL - City name,OPTIONAL - Full address,OPTIONAL - 1-5 (default 3),"OPTIONAL - e.g. Luxury, Boutique, Budget",OPTIONAL - Hotel description,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL - e.g. 15:00,OPTIONAL - e.g. 11:00,OPTIONAL,OPTIONAL,OPTIONAL - Comma-separated list,OPTIONAL - Pricing info,OPTIONAL - Sort order (default 0)
CHE,Bernese Oberland,Victoria Jungfrau Grand Hotel & Spa,Interlaken,"Höheweg 41, 3800 Interlaken",5,Luxury,"Iconic 5-star hotel with panoramic views of Jungfrau. World-class spa, fine dining, outdoor pool",+41 33 828 28 28,interlaken@victoria-jungfrau.ch,https://www.victoria-jungfrau.ch,15:00,11:00,46.6863,7.8586,"WiFi, Spa, Pool, Restaurant, Bar, Gym, Parking",From CHF 450/night double room,1
CHE,Central Switzerland,Hotel Schweizerhof Luzern,Lucerne,"Schweizerhofquai 3, 6002 Luzern",5,Luxury,Elegant lakefront hotel overlooking Lake Lucerne and the Alps. Since 1845,+41 41 410 04 10,info@schweizerhof-luzern.ch,https://www.schweizerhof-luzern.ch,15:00,12:00,47.0502,8.3093,"WiFi, Spa, Restaurant, Bar, Lake View, Concierge",From CHF 380/night double room,1
CHE,Zurich Region,Baur au Lac,Zurich,"Talstrasse 1, 8001 Zürich",5,Luxury,"Since 1844, one of the world's finest hotels. On private park near Zürichsee",+41 44 220 50 20,info@bauraulac.ch,https://www.bauraulac.ch,14:00,12:00,47.3656,8.5368,"WiFi, Spa, Restaurant, Bar, Garden, Valet Parking",From CHF 550/night double room,1
ISL,Reykjavik,Hotel Ísland,Reykjavík,"Ármúli 9, 108 Reykjavík",4-star,Spa & Wellness Hotel,Tentative hotel or similar,+354 595 7000,,,14:00,11:00,64.1444,-21.8889,,ISK 40000,1
ISL,Akureyri,Hotel Hálönd,Akureyri,"Heimaland 5, 601 Akureyri",,,Self-check-in; no reception desk; tentative,+354 571 8030,info@hotelhalond.is,hotelhalond.is,,,65.6833,-18.0875,,ISK 35000,2
ISL,Borgarnes,Hotel Vesturland,Borgarnes,"Borgarbraut 59, 310 Borgarnes",4-star,,Tentative hotel or similar,,,,15:00,11:00,64.5333,-21.9167,,ISK 37000,3
ISL,Vik,Hotel Dyrhólaey,Vík,"Brekkur, Vík",3-star,Family-run hotel,Tentative hotel or similar,,,,15:30,11:00,63.4194,-19.0019,,ISK 38000,4
ISL,Keflavik,Courtyard by Marriott,Keflavík,"Aðalgata 60, 230 Reykjanesbær",4-star,Business Hotel,Tentative hotel; no Indian tea/breakfast allowed,+354 599 6100,,,15:00,12:00,64.0022,-22.562,,ISK 39000,5
ISL,Reykjavik,Fosshotel Reykjavík,Reykjavík,"Þórunnartún 1, 105 Reykjavík",4-star,,No Indian tea/breakfast allowed,,,,15:00,12:00,64.1472,-21.9111,,ISK 41000,6
ISL,Reykholt,Fosshotel Reykholt,Reykholt,"Hálsasveitarvegur, 320 Reykholt",4-star,Romantic country hotel,No Indian tea/breakfast allowed,+354 435 1260,reykholt@fosshotel.is,,,,64.6667,-21.2833,,ISK 34000,7
ISL,Reykjavik,Grand Hotel Reykjavík,Reykjavík,"Sigtún 28, 105 Reykjavík",4-star,,No Indian tea/breakfast allowed,,,islandshotel.is,14:00,12:00,64.1436,-21.8906,,ISK 33000,8
ISL,Akureyri,Hotel Kea,Akureyri,"Hafnarstræti 87-89, 600 Akureyri",4-star,Centrally located hotel,No Indian tea/breakfast allowed,,,keahotels.is,15:00,11:00,65.6835,-18.0907,,ISK 32000,9
