region,travel_type,validity_mode,valid_from,valid_to,price,currency,activity_combination,est_time_distance,overnight_location,source_file,itinerary_text,display_order
REQUIRED - Region name (exact match) OR region ID,OPTIONAL - GROUP / SOLO / COUPLE / GENERAL,OPTIONAL - OPEN / DATE_RANGE / MONTH / YEAR,OPTIONAL - Start date YYYY-MM-DD (required if DATE_RANGE/MONTH/YEAR),OPTIONAL - End date YYYY-MM-DD (required for DATE_RANGE),OPTIONAL - Tour price,OPTIONAL - INR / USD / EUR (default INR),REQUIRED - Activities included in the day,OPTIONAL - Estimated time/distance,OPTIONAL - Where guest stays overnight,OPTIONAL - Source reference,REQUIRED - Detailed day itinerary,OPTIONAL - Sort order (default 0)
Bernese Oberland,GENERAL,OPEN,,,150,EUR,Jungfraujoch + Lake Brienz Cruise,"Full day, ~80km round trip",Interlaken,Switzerland Master Plan,"Morning: Depart Interlaken for Jungfraujoch via cogwheel railway (2hrs). Visit Sphinx Observatory, Ice Palace and Aletsch Glacier viewpoint at Top of Europe (3,454m). Afternoon: Return to Interlaken, take scenic boat cruise on Lake Brienz. Visit Giessbach Falls. Evening: Return to Interlaken hotel.",1
Central Switzerland,GENERAL,OPEN,,,120,EUR,Lucerne City Tour + Mount Pilatus Golden Round Trip,"Full day, ~45km round trip",Lucerne,Switzerland Master Plan,"Morning: Walk through Lucerne Old Town, visit Chapel Bridge (Kapellbrücke) and Lion Monument. Take boat from Lucerne to Alpnachstad. Afternoon: Ascend Mt. Pilatus by steepest cogwheel railway in the world. Enjoy panoramic views at 2,128m summit. Descend by gondola and cable car to Kriens. Bus back to Lucerne.",2
Zurich Region,GENERAL,OPEN,,,90,EUR,Rhine Falls + Stein am Rhein + Zurich Old Town,"Full day, ~120km round trip",Zurich,Switzerland Master Plan,"Morning: Drive from Zurich to Rhine Falls (Rheinfall), Europe's largest waterfall. Take boat ride to the central rock. Visit Stein am Rhein medieval town with painted facades. Afternoon: Return to Zurich, walking tour of Old Town (Altstadt), Bahnhofstrasse shopping, Lindenhof viewpoint. Evening: Free time at Zurich Lake promenade.",3
Reykjavík ,Group,OPEN,,,15000,ISK,Arrival + Transfer to Reykjavik + Reykjavik City Tour; Check in at hotel ,Full day ~10 hours,Reykjavík ,Iceland,Arrival + Transfer to Reykjavik + Reykjavik City Tour; Check in at hotel ,1
Reykjavik ,Group,OPEN,,,15500,ISK,Blue Lagoon Comfort Package + Perlan- Wonders of Iceland ,Full day ~10 hours,Reykjavik ,Iceland,Blue Lagoon Comfort Package + Perlan- Wonders of Iceland ,2
Akureyri ,Group,OPEN,,,16000,ISK,Checkout; Flyover Iceland; & drive towards Akureyri ,Full day ~10 hours,Akureyri ,Iceland,Checkout; Flyover Iceland; & drive towards Akureyri ,3
Akureyri ,Group,OPEN,,,16500,ISK,"Diamond Circle Tour - Godafoss, Pseudo Craters, Namaskarð, and Earth Lagoon ",Full day ~10 hours,Akureyri ,Iceland,"Diamond Circle Tour - Godafoss, Pseudo Craters, Namaskarð, and Earth Lagoon ",4
Borgarnes ,Group,OPEN,,,17000,ISK,Checkout & Akureyri Whale Watching - Drive towards Borgarnes ,Full day ~10 hours,Borgarnes ,Iceland,Checkout & Akureyri Whale Watching - Drive towards Borgarnes ,5
Borgarnes ,Group,OPEN,,,17500,ISK,Deildartunguhver + Hraunfossar/Barnafoss + Into the Glacier by Monster Truck ,Full day ~10 hours,Borgarnes ,Iceland,Deildartunguhver + Hraunfossar/Barnafoss + Into the Glacier by Monster Truck ,6
Vik ,Group,OPEN,,,18000,ISK,Check out; Visit South coast covering Seljalandsfoss + Skogafoss + Reynisfjara Black sand beach ,Full day ~10 hours,Vik ,Iceland,Check out; Visit South coast covering Seljalandsfoss + Skogafoss + Reynisfjara Black sand beach ,7
Vik ,Group,OPEN,,,18500,ISK,Jokulsarlon glacier Lagoon + Amphibian Boat Ride + Diamond beach ,Full day ~10 hours,Vik ,Iceland,Jokulsarlon glacier Lagoon + Amphibian Boat Ride + Diamond beach ,8
Keflavik ,Group,OPEN,,,19000,ISK,"Tomato Farm + Golden Circle tour (Thingvellir National Park, Geysir, Gullfoss) ",Full day ~10 hours,Keflavik ,Iceland,"Tomato Farm + Golden Circle tour (Thingvellir National Park, Geysir, Gullfoss) ",9
Keflavik ,Group,OPEN,,,19500,ISK,One way Airport drop off ,Full day ~10 hours,,Iceland,One way Airport drop off ,10
